frame,x1,y1,x2,y2,x3,y3,x4,y4
134,854,98,810,109,822,185,855,163
146,1148,190,1170,235,1227,273,1203,227
147,1148,190,1170,235,1227,273,1203,227
149,1144,186,1171,241,1238,289,1203,220
155,1217,334,1199,368,1279,435,1279,353
156,1217,336,1199,368,1279,428,1279,354
158,1219,336,1204,373,1279,420,1279,352
164,1175,181,1162,213,1265,297,1279,290
165,1172,173,1164,229,1279,327,1279,220
168,1180,161,1172,230,1279,320,1279,236
169,1206,338,1239,384,1279,404,1279,337
169,1184,163,1181,216,1279,301,1277,246
173,1205,163,1204,204,1259,235,1238,190
176,1223,167,1221,223,1279,281,1279,204
177,1223,167,1221,223,1279,281,1279,205
178,1238,178,1226,226,1279,284,1279,204
179,1247,189,1231,224,1279,271,1279,216
181,0,589,0,627,227,625,85,576
182,0,589,0,627,227,625,85,576
183,0,599,0,626,240,625,51,584
184,885,568,910,626,957,625,941,565
195,0,606,0,626,183,625,96,600
263,244,343,333,390,521,394,312,318
264,242,343,278,385,518,395,305,316
265,237,341,271,381,518,393,284,311
266,234,344,267,384,519,396,306,315
267,234,344,267,384,520,396,306,315
268,232,346,257,385,520,403,299,320
269,226,359,256,395,520,412,299,330
270,221,365,317,412,518,417,290,333
271,214,373,324,419,516,423,288,339
272,214,373,324,419,516,423,288,339
273,208,369,304,421,511,427,257,332
274,202,373,299,424,509,430,276,344
275,194,378,294,430,504,436,268,348
276,186,384,289,434,501,442,267,356
277,186,384,289,434,501,442,267,356
278,179,391,243,430,501,446,262,363
279,174,391,283,442,498,450,256,362
280,165,389,289,446,491,451,250,365
281,157,390,256,442,489,450,246,363
282,157,390,256,442,489,450,246,363
283,148,388,255,442,486,449,244,362
284,134,397,241,445,482,453,212,346
285,129,398,242,448,481,454,201,345
286,123,402,215,449,479,458,195,347
287,123,402,215,449,479,458,195,347
290,361,265,299,274,275,305,326,300
300,0,267,0,305,95,316,77,282
303,0,270,0,305,93,317,63,278
306,24,399,177,466,446,484,130,378
307,24,399,177,466,446,484,184,389
319,916,259,870,257,867,343,879,354
320,916,259,870,257,867,343,879,354
324,291,579,306,625,416,624,336,556
325,291,579,306,625,416,624,336,556
329,307,547,304,624,420,624,338,539
330,307,547,304,624,420,624,338,539
331,295,557,284,625,397,624,333,547
332,283,561,269,625,381,624,319,551
333,257,558,245,625,352,624,300,551
334,239,561,227,625,330,624,277,550
335,239,561,227,625,330,624,277,550
336,228,563,217,625,321,623,266,552
336,392,95,431,189,556,157,522,94
337,225,568,212,625,309,624,266,559
337,552,145,512,93,383,97,428,191
338,225,572,213,625,306,625,264,562
341,1188,93,1236,382,1279,383,1279,92
344,244,561,232,625,327,624,277,551
344,219,209,144,210,140,237,198,236
345,244,561,232,625,327,624,277,551
345,219,209,144,210,140,237,198,236
346,304,360,557,625,695,625,514,308
347,362,102,332,113,344,276,442,184
348,364,105,333,112,348,270,444,174
348,649,97,928,280,1022,254,1058,111
348,234,94,102,96,151,232,238,151
349,656,95,946,254,1037,222,1058,96
350,656,95,946,254,1037,222,1058,96
351,666,95,945,242,1025,235,1042,93
352,509,450,597,493,628,469,610,453
352,113,94,265,316,276,166,189,93
361,191,96,193,117,240,149,258,97
364,327,200,342,346,396,375,576,287
365,327,200,342,346,396,375,576,287
366,830,221,952,231,947,210,846,197
387,263,269,276,368,290,380,303,332
397,461,330,403,359,390,409,481,388
409,1279,173,1213,181,1184,209,1279,205
417,413,458,2,453,0,626,400,625
418,324,418,8,420,0,626,312,625
419,1266,403,1235,444,1236,550,1277,503
419,847,392,860,625,1102,625,1066,370
420,313,387,11,412,0,626,284,625
420,1275,293,1227,336,1223,501,1279,626
421,313,387,11,412,0,626,284,625
421,1275,293,1227,336,1223,501,1279,626
423,328,395,31,435,21,625,331,625
428,192,94,235,182,288,177,294,95
432,0,585,0,627,61,625,59,600
432,7,382,0,578,60,596,77,386
432,1269,285,1237,307,1232,626,1272,592
433,7,379,0,579,60,596,77,387
434,0,584,0,627,56,625,54,597
434,66,378,0,386,0,577,55,591
435,63,376,0,382,0,576,51,589
436,63,376,0,382,0,576,51,589
437,44,376,0,382,0,577,47,587
437,1251,258,1219,278,1215,626,1250,625
438,52,377,0,382,0,577,43,586
439,0,380,0,576,43,586,58,381
440,0,378,0,574,44,585,58,378
441,0,378,0,574,44,585,58,378
442,56,371,0,376,0,571,45,583
443,0,576,0,627,49,625,49,587
443,0,374,0,568,48,583,63,374
444,0,573,0,627,50,625,50,584
444,0,372,0,566,50,579,65,370
445,0,571,0,627,50,625,52,584
445,64,364,0,370,0,563,50,575
446,0,571,0,627,50,625,52,584
446,64,364,0,370,0,563,50,575
447,0,568,0,627,47,626,49,580
447,64,361,0,366,0,559,48,569
448,0,564,0,627,42,626,44,576
448,1,360,0,555,45,564,59,359
449,0,559,0,627,33,626,36,569
449,5,351,0,550,37,558,52,357
450,1266,358,1257,463,1279,474,1279,358
450,31,334,0,336,0,537,23,542
451,1266,358,1257,463,1279,474,1279,358
451,31,334,0,336,0,537,23,542
452,1251,332,1238,433,1262,450,1274,341
455,1203,176,1170,244,1187,358,1210,273
456,1203,176,1170,244,1187,358,1210,273
457,1279,198,1050,248,1082,573,1279,578
458,1279,197,1048,251,1079,576,1279,581
459,117,358,23,368,23,413,66,420
459,1279,201,1046,254,1079,581,1279,586
460,636,432,653,513,794,479,788,450
460,597,421,581,488,601,517,616,436
460,124,364,22,377,21,423,104,440
461,636,432,653,513,794,479,788,450
461,597,421,581,488,601,517,616,436
461,124,364,22,377,21,423,104,440
462,633,421,652,522,798,478,786,438
462,122,373,20,384,18,431,121,457
463,626,414,646,531,809,481,799,450
463,116,380,15,392,11,439,114,467
463,203,365,143,377,142,464,179,463
464,109,379,6,392,5,437,107,465
464,225,360,136,376,135,463,207,459
465,651,383,618,459,635,533,778,500
465,104,381,0,394,0,445,103,469
465,252,360,131,378,129,465,232,463
466,651,383,618,459,635,533,778,500
466,104,381,0,394,0,445,103,469
466,252,360,131,378,129,465,232,463
467,100,379,0,390,0,444,96,467
467,677,362,615,478,636,529,771,499
467,273,354,126,375,124,463,265,460
468,95,379,0,389,0,448,91,466
468,695,349,628,464,671,523,770,500
469,88,383,0,392,0,456,85,470
469,705,346,654,436,711,510,768,506
470,79,384,0,392,0,466,77,472
471,79,384,0,392,0,466,77,472
472,71,385,0,393,0,475,70,474
473,62,389,0,395,0,479,59,478
474,54,389,0,394,0,479,51,479
474,285,359,279,494,508,474,361,349
475,631,545,741,519,718,499,671,500
475,45,392,0,396,0,483,42,482
476,631,545,741,519,718,499,671,500
476,45,392,0,396,0,483,42,482
477,39,396,0,400,0,489,37,488
478,35,396,0,400,0,489,32,488
479,28,397,0,400,0,491,26,488
484,546,307,236,357,229,509,507,489
485,543,302,230,354,222,507,505,547
486,543,302,230,354,222,507,504,547
502,0,292,0,528,444,493,400,404
503,323,563,0,582,0,627,303,625
503,0,269,0,498,456,496,395,378
504,328,532,0,551,0,627,291,625
504,0,242,0,468,444,444,396,352
505,340,507,0,524,0,627,264,626
505,0,218,0,439,452,418,408,331
506,340,507,0,524,0,627,264,626
506,0,218,0,439,452,418,408,331
507,349,487,0,503,0,627,263,615
507,0,199,0,418,461,400,429,317
508,355,470,0,478,0,627,274,592
508,0,182,0,400,479,401,468,315
509,362,451,0,458,0,627,282,569
509,0,162,0,378,484,386,478,299
510,362,436,0,441,0,617,283,554
510,0,151,0,361,481,371,475,288
511,362,436,0,441,0,617,283,554
511,0,151,0,361,481,371,475,288
512,363,423,0,427,0,599,290,535
512,0,141,0,348,480,353,479,280
513,408,546,116,626,331,627,402,598
513,368,409,0,408,0,580,294,519
513,0,125,0,330,535,372,473,264
514,400,534,61,626,288,626,390,587
514,0,563,284,508,362,398,0,395
515,386,529,15,626,251,626,377,579
515,0,551,274,500,352,392,0,389
515,0,122,0,315,453,311,426,246
516,386,529,15,626,251,626,377,579
516,0,551,274,500,352,392,0,389
516,0,122,0,315,453,311,426,246
517,384,519,0,627,220,625,375,570
517,0,537,483,454,356,384,0,379
518,371,509,0,627,186,620,360,560
518,0,113,0,298,392,336,507,276
519,346,504,2,585,0,627,329,559
520,571,318,543,311,466,351,533,360
520,802,174,753,167,723,188,757,219
521,571,318,543,311,466,351,533,360
521,802,174,753,167,723,188,757,219
522,562,336,514,322,448,364,512,371
522,0,152,0,316,384,362,478,308
540,64,567,103,626,153,626,116,575
541,64,567,103,626,153,626,116,575
542,80,554,130,626,179,626,130,560
543,98,539,157,626,207,626,146,546
543,0,533,0,627,31,626,27,535
544,112,525,184,626,233,625,163,532
545,128,510,204,617,253,626,177,516
546,128,510,204,617,253,626,177,516
547,144,493,235,622,283,625,192,500
548,159,476,256,620,313,625,212,489
549,1279,570,1213,626,1262,626,1279,610
550,1279,550,1201,626,1248,627,1279,598
551,1279,550,1201,626,1248,627,1279,598
552,1279,536,1190,627,1232,626,1279,584
554,483,588,484,601,613,612,609,595
555,493,567,512,584,624,592,618,575
556,493,567,512,584,624,592,618,575
557,504,547,504,560,634,571,630,555
558,515,536,642,552,637,535,532,525
559,526,516,652,530,648,515,573,506
560,495,608,626,618,625,606,542,596
561,495,608,626,618,625,606,542,596
562,504,586,620,602,635,591,537,574
562,508,289,502,436,537,369,529,295
563,1093,327,1093,453,1118,471,1125,348
563,527,272,511,279,508,414,539,361
563,311,256,406,414,446,415,352,268
564,1279,380,1207,457,1236,462,1270,430
564,1096,308,1097,433,1122,450,1127,328
564,0,149,0,178,70,182,68,155
565,1279,361,1208,436,1236,442,1270,411
565,1121,297,1099,362,1099,412,1119,430
565,328,221,446,369,447,328,366,230
